Customer ID,Churn Status
ADF0001,1
ADF0002,1
ADF0003,1
ADF0004,0
ADF0005,1
ADF0006,1
ADF0007,1
ADF0008,1
ADF0009,1
ADF0010,1
ADF0011,0
ADF0012,1
ADF0013,0
ADF0014,0
ADF0015,1
ADF0016,0
ADF0017,1
ADF0018,1
ADF0019,1
ADF0020,1
ADF0021,0
ADF0022,1
ADF0023,1
ADF0024,1
ADF0025,1
ADF0026,0
ADF0027,1
ADF0028,1
ADF0029,1
ADF0030,1
ADF0031,0
ADF0032,1
ADF0033,0
ADF0034,1
ADF0035,1
ADF0036,1
ADF0037,1
ADF0139,1
ADF0140,1
ADF0141,0
ADF0142,1
ADF0143,1
ADF0144,1
ADF0145,0
ADF0146,0
ADF0147,1
ADF0148,1
ADF0149,1
ADF0150,0
ADF0151,0
ADF0152,1
ADF0153,1
ADF0154,1
ADF0155,1
ADF0156,1
ADF0157,1
ADF0158,1
ADF0159,0
ADF0160,0
ADF0161,0
ADF0162,1
ADF0163,1
ADF0164,1
ADF0165,0
ADF0166,1
ADF0167,1
ADF0168,1
ADF0169,1
ADF0170,1
ADF0171,0
ADF0172,0
ADF0173,0
ADF0174,1
ADF0175,1
ADF0176,1
ADF0177,0
ADF0178,1
ADF0179,1
ADF0180,0
ADF0181,1
ADF0182,0
ADF0183,1
ADF0184,1
ADF0185,0
ADF0186,1
ADF0187,1
ADF0188,1
ADF0189,1
ADF0190,0
ADF0191,0
ADF0192,1
ADF0193,0
ADF0194,1
ADF0195,1
ADF0196,1
ADF0197,1
ADF0198,0
ADF0199,1
ADF0200,1
ADF0201,1
ADF0202,1
ADF0203,1
ADF0204,1
ADF0205,1
ADF0206,0
ADF0207,0
ADF0208,0
ADF0209,1
ADF0210,1
ADF0211,0
ADF0212,1
ADF0213,0
ADF0214,1
ADF0215,1
ADF0216,0
ADF0217,1
ADF0218,1
ADF0219,1
ADF0220,1
ADF0221,1
ADF0222,1
ADF0223,0
ADF0224,1
ADF0225,0
ADF0226,1
ADF0227,1
ADF0228,1
ADF0229,1
ADF0230,1
ADF0231,1
ADF0232,1
ADF0233,1
ADF0234,0
ADF0235,1
ADF0236,0
ADF0237,0
ADF0238,0
ADF0239,1
ADF0240,1
ADF0241,1
ADF0242,0
ADF0243,1
ADF0244,1
ADF0245,1
ADF0246,0
ADF0247,1
ADF0248,1
ADF0249,1
ADF0250,1
ADF0251,1
ADF0252,1
ADF0253,1
ADF0562,1
ADF0563,1
ADF0564,1
ADF0565,1
ADF0566,1
ADF0567,0
ADF0568,0
ADF0569,0
ADF0570,1
ADF0571,0
ADF0572,0
ADF0573,1
ADF0574,0
ADF0575,1
ADF0576,1
ADF0577,1
ADF0578,1
